archivo,titulo,autor,año_publicacion,categoria,palabras_aprox
01_Adios_-_Alfonsina_Storni.txt,Adios,Alfonsina Storni,1916,Poesía,170
02_A_la_tristeza_de_Buenos_Aires_-_Alfonsina_Storni.txt,A la tristeza de Buenos Aires,Alfonsina Storni,1916,Poesía,120
03_Alma_desnuda_-_Alfonsina_Storni.txt,Alma desnuda,Alfonsina Storni,1919,Poesía,250
04_Dolor_-_Alfonsina_Storni.txt,Dolor,Alfonsina Storni,1925,Poesía,160
05_Dos_palabras_-_Alfonsina_Storni.txt,Dos palabras,Alfonsina Storni,1934,Poesía,110
06_Frente_al_mar_-_Alfonsina_Storni.txt,Frente al mar,Alfonsina Storni,1916,Poesía,270
07_Indolencia_-_Alfonsina_Storni.txt,Indolencia,Alfonsina Storni,1916,Poesía,130
08_La_inquitud_del_rosal_-_Alfonsina_Storni.txt,La inquitud del rosal,Alfonsina Storni,1916,Poesía,60
09_La_caricia_perdida_-_Alfonsina_Storni.txt,La caricia perdida,Alfonsina Storni,1920,Poesía,140
10_Tu_que_nunca_seras_-_Alfonsina_Storni.txt,Tu que nunca seras,Alfonsina Storni,1925,Poesía,110
11_Paz_-_Alfonsina_Storni.txt,Paz,Alfonsina Storni,1920,Poesía,60
12_Viaje_-_Alfonsina_Storni.txt,Viaje,Alfonsina Storni,1920,Poesía,120
13_Voy_a_dormir_-_Alfonsina_Storni.txt,Voy a dormir,Alfonsina Storni,1920,Poesía,100
14_Yo_en_el_fondo_del_mar_-_Alfonsina_Storni.txt,Yo en el fondo del mar,Alfonsina Storni,1920,Poesía,100
15_Pudiera_ser_-_Alfonsina_Storni.txt,Pudiera ser,Alfonsina Storni,1919,Poesía,120
16_La_carencia_-_Alejandra_Pizarnik.txt,La carencia,Alejandra Pizarnik,1962,Poesía,30
17_Sentido_de_su_ausencia_-_Alejandra_Pizarnik.txt,Sentido de su ausencia,Alejandra Pizarnik,1962,Poesía,50
18_Cold_in_hand_blues_-_Alejandra_Pizarnik.txt,Cold in hand blues,Alejandra Pizarnik,1962,Poesía,40
19_Palabras_-_Alejandra_Pizarnik.txt,Palabras,Alejandra Pizarnik,1962,Poesía,540
20_Nada_-_Alejandra_Pizarnik.txt,Nada,Alejandra Pizarnik,1962,Poesía,20
21_Aproximaciones_-_Alejandra_Pizarnik.txt,Aproximaciones,Alejandra Pizarnik,1962,Poesía,1830
22_Poema_-_Alejandra_Pizarnik.txt,Poema,Alejandra Pizarnik,1962,Poesía,30
23_Amantes_-_Alejandra_Pizarnik.txt,Amantes,Alejandra Pizarnik,1962,Poesía,30
24_Encuentro_-_Alejandra_Pizarnik.txt,Encuentro,Alejandra Pizarnik,1962,Poesía,30
25_Poema_para_el_padre_-_Alejandra_Pizarnik.txt,Poema para el padre,Alejandra Pizarnik,1962,Poesía,120
26_Ahora_-_Alejandra_Pizarnik.txt,Ahora,Alejandra Pizarnik,1962,Poesía,30
27_Extrano_desacostumbrarme_-_Alejandra_Pizarnik.txt,Extraño desacostumbrarme,Alejandra Pizarnik,1962,Poesía,30
28_Salta_con_la_camisa_en_llamas_-_Alejandra_Pizarnik.txt,Salta con la camisa en llamas,Alejandra Pizarnik,1962,Poesía,40
29_Memoria_iluminada_-_Alejandra_Pizarnik.txt,Memoria iluminada,Alejandra Pizarnik,1962,Poesía,30
30_La_ultima_inocencia_-_Alejandra_Pizarnik.txt,La última inocencia,Alejandra Pizarnik,1962,Poesía,50